City,Cloud Coverage,City Country,City DateTime,Humidity,City Latitude,City Longitude,Max Temperature,Wind Speed
Saskylakh,11,RU,1637639115,98,71.9167,114.0833,-24.77,8.68
Karakol,10,KG,1637639116,58,42.4907,78.3936,31.89,0.98
Albany,20,US,1637639049,74,42.6001,-73.9662,33.1,1.01
Esperance,83,AU,1637639116,67,-33.8667,121.9,62.44,16.91
Narsaq,2,GL,1637639117,73,60.9167,-46.05,23.22,7.23
Puerto Ayora,28,EC,1637639117,75,-0.7393,-90.3518,68.02,6.6
Altay,64,CN,1637639118,73,47.8667,88.1167,25.16,2.8
Kota Tinggi,63,MY,1637639118,69,1.7381,103.8999,88.03,1.66
Thompson,75,CA,1637639118,71,55.7435,-97.8558,-0.24,2.3
Lebu,0,CL,1637639119,87,-37.6167,-73.65,53.83,19.69
Port Elizabeth,90,ZA,1637639119,82,-33.918,25.5701,62.89,12.66
Khatanga,99,RU,1637639120,79,71.9667,102.5,-2.15,22.82
Nome,1,US,1637639120,51,64.5011,-165.4064,5.07,18.41
Cape Town,0,ZA,1637638969,70,-33.9258,18.4232,63.1,19.57
Taoudenni,100,ML,1637639121,39,22.6783,-3.9836,77.99,8.12
Jamestown,90,US,1637639065,66,42.097,-79.2353,33.39,5.01
Dikson,100,RU,1637639122,97,73.5069,80.5464,-10.14,17.74
Fairbanks,90,US,1637638485,62,64.8378,-147.7164,1.6,1.01
Vila Franca do Campo,93,PT,1637639122,87,37.7167,-25.4333,68.2,15.17
Hailar,2,CN,1637639123,58,49.2,119.7,10.49,17.07
Bluff,38,NZ,1637639123,70,-46.6,168.3333,56.39,12.53
Salalah,0,OM,1637639124,18,17.0151,54.0924,80.69,10.36
Yellowknife,40,CA,1637639124,77,62.456,-114.3525,-8.59,1.01
Atuona,100,PF,1637638859,75,-9.8,-139.0333,77.74,9.1
Kashgar,1,CN,1637639125,59,39.4547,75.9797,35.22,6.71
Geraldton,0,AU,1637639125,46,-28.7667,114.6,76.12,20.71
Cockburn Town,4,TC,1637639125,75,21.4612,-71.1419,81.21,12.21
Ribeira Grande,20,PT,1637639126,86,38.5167,-28.7,65.91,18.54
Nikolskoye,100,RU,1637639126,96,59.7035,30.7861,27.81,5.41
Hualmay,100,PE,1637638930,84,-11.0964,-77.6139,65.14,7.07
Hobyo,84,SO,1637639127,69,5.3505,48.5268,80.01,9.04
Sidi Ali,0,DZ,1637639128,64,36.0998,0.4206,54.52,5.39
Rāybāg,2,IN,1637639128,73,16.4833,74.7833,79.02,6.78
Tuatapere,48,NZ,1637639129,66,-46.1333,167.6833,58.15,8.75
Mindelo,40,CV,1637639129,78,16.8901,-24.9804,76.55,10.36
Alice Springs,99,AU,1637638848,68,-23.7,133.8833,72.95,13.8
Belaya Gora,100,RU,1637639130,99,68.5333,146.4167,-17.43,4.81
Tautira,88,PF,1637639130,78,-17.7333,-149.15,82.42,13.53
Beringovskiy,96,RU,1637639131,99,63.05,179.3167,-2.51,13.22
Okha,100,RU,1637639131,84,53.5739,142.9478,33.98,32.88
Priargunsk,1,RU,1637639132,56,50.3691,119.1012,11.16,12.57
Hobart,75,AU,1637639102,51,-42.8794,147.3294,76.05,1.99
Arraial do Cabo,5,BR,1637639132,75,-22.9661,-42.0278,69.39,14.99
Castro,52,BR,1637639133,61,-24.7911,-50.0119,61.68,2.46
Avera,13,US,1637639133,50,33.194,-82.5271,52.48,10.69
Kiruna,75,SE,1637639134,92,67.8557,20.2251,9.52,9.22
Saint Anthony,1,US,1637639134,55,45.0205,-93.218,29.35,1.01
Sitka,90,US,1637639134,87,57.0531,-135.33,37.29,4.61
Hervey Bay,79,AU,1637639135,73,-25.2986,152.8535,80.04,11.25
Kavieng,58,PG,1637639135,77,-2.5744,150.7967,83.8,12.86
Edd,19,ER,1637639136,73,13.9297,41.6925,78.78,1.01
Ternate,68,ID,1637639136,73,0.8,127.4,84.65,6.73
Takoradze,22,GH,1637639137,81,4.8845,-1.7554,78.93,2.13
Praia,20,CV,1637639137,73,14.9215,-23.5087,77.54,18.41
Bethel,1,US,1637639137,61,41.3712,-73.414,37.98,1.01
Hambantota,20,LK,1637639138,89,6.1241,81.1185,84.54,2.3
Sambava,64,MG,1637639138,78,-14.2667,50.1667,76.42,4.76
Adré,41,TD,1637639139,30,13.4667,22.2,65.86,15.7
Province of Palermo,9,IT,1637639139,87,37.8167,13.5833,55.74,4.56
Lüderitz,29,NA,1637639140,86,-26.6481,15.1594,59.23,12.68
Kuching,40,MY,1637639140,94,1.55,110.3333,80.22,5.75
Sol'tsy,61,RU,1637639140,86,58.1239,30.3238,26.51,5.93
Nekhayevskiy,100,RU,1637639141,85,50.4106,41.7561,28.53,5.82
Tasiilaq,97,GL,1637639141,63,65.6145,-37.6368,26.76,7.81
Bambanglipuro,100,ID,1637639142,81,-7.95,110.2833,71.6,5.39
Sparti,99,GR,1637639142,96,37.0733,22.4297,58.95,1.5
Portland,90,US,1637638954,90,45.5234,-122.6762,46.38,4.0
Ostër,100,UA,1637639143,70,50.9506,30.8823,31.78,4.12
Morondava,80,MG,1637639143,77,-20.2833,44.2833,81.72,7.52
Mango,1,US,1637639143,89,27.9797,-82.3065,68.02,4.61
Beloha,59,MG,1637639144,74,-25.1667,45.05,73.89,6.02
Durusu,100,TR,1637639144,73,41.3053,28.6767,59.18,3.0
Mitchell,1,US,1637639145,68,43.7094,-98.0298,34.11,3.0
Salym,100,RU,1637639145,93,60.0625,71.4789,20.32,8.72
Isangel,75,VU,1637639145,74,-19.55,169.2667,87.91,9.22
Cherskiy,40,RU,1637639146,100,68.75,161.3,-32.31,3.24
Oksovskiy,40,RU,1637639146,88,62.6062,39.8984,15.24,7.83
Pisco,90,PE,1637639147,88,-13.7,-76.2167,65.01,11.5
Barrow,40,US,1637639147,77,71.2906,-156.7887,-5.78,5.75
Fuyu,94,CN,1637639147,73,45.1833,124.8167,17.35,14.83
Terrace,75,CA,1637638912,87,54.5163,-128.6035,39.42,8.05
Ugoofaaru,93,MV,1637639148,76,5.6667,73.0,81.48,13.56
Saint-Philippe,28,RE,1637639149,67,-21.3585,55.7679,78.35,8.21
San Quintín,98,MX,1637639149,64,30.4833,-115.95,65.62,4.47
Raymond,100,US,1637639150,76,43.9015,-70.4703,37.18,7.56
Bud,1,US,1637639150,77,39.447,-86.1758,28.58,5.77
Nadym,100,RU,1637639151,96,65.5333,72.5167,14.61,4.99
Sterling,20,US,1637639151,58,39.0062,-77.4286,38.26,8.99
Iqaluit,90,CA,1637639151,74,63.7506,-68.5145,28.13,15.99
Kasane,99,BW,1637639153,86,-17.8167,25.15,68.32,4.03
Pangody,100,RU,1637639153,96,65.85,74.4859,14.27,7.94
Sinjār,3,IQ,1637639154,62,36.3209,41.8754,53.74,4.63
Coyhaique,98,CL,1637639154,89,-45.5752,-72.0662,47.41,6.64
Kununurra,40,AU,1637639155,30,-15.7667,128.7333,102.18,9.22
Vargashi,96,RU,1637639155,90,55.3556,65.8467,20.89,14.36
Boa Vista,75,BR,1637639155,89,2.8197,-60.6733,78.78,3.44
Caetité,100,BR,1637639156,99,-14.0694,-42.475,66.97,7.0
Sainte-Marie,0,RE,1637639156,70,-20.8968,55.5496,78.93,11.5
Port Alfred,100,ZA,1637639157,83,-33.5906,26.891,64.56,23.22
Izumo,75,JP,1637639158,49,35.3667,132.7667,51.75,26.46
Vao,99,NC,1637639158,79,-22.6667,167.4833,75.22,10.47
Mossamedes,63,AO,1637639158,78,-15.1961,12.1522,68.2,5.19
Camacha,40,PT,1637639159,77,33.0833,-16.3333,65.62,8.05
Shwebo,16,MM,1637639159,76,22.5667,95.7,78.66,2.62
Tānsen,10,NP,1637639160,65,27.8673,83.5467,60.98,3.13
Touros,95,BR,1637639160,79,-5.1989,-35.4608,79.7,11.03
Nishihara,90,JP,1637639161,61,26.1842,127.7558,69.08,13.8
Tagusao,85,PH,1637639161,69,9.1924,117.8141,85.8,6.15
Sungai Penuh,96,ID,1637639162,46,-2.0833,101.3833,78.84,5.17
Acapulco de Juárez,1,MX,1637639157,78,16.8634,-99.8901,80.42,5.75
Kyzyl-Suu,8,KG,1637639162,45,42.3414,78.0056,35.73,2.42
Burnie,100,AU,1637639163,52,-41.0667,145.9167,70.95,8.68
Lavrentiya,8,RU,1637639163,93,65.5833,-171.0,-2.47,10.29
Buala,82,SB,1637639164,74,-8.145,159.5921,84.2,10.83
Port-Gentil,92,GA,1637639164,85,-0.7193,8.7815,79.3,7.05
Weligama,88,LK,1637639164,70,5.9667,80.4167,83.61,5.77
Kurumkan,44,RU,1637639165,76,54.3,110.3,4.75,1.97
Egvekinot,21,RU,1637639165,71,66.3167,-179.1667,-5.3,10.0
Wanning,93,CN,1637639166,79,18.8003,110.3967,70.93,16.06
Sola,75,VU,1637639166,74,-13.8833,167.55,86.67,5.75
Shache,0,CN,1637639167,30,38.4167,77.2406,35.92,3.15
Ionia,1,US,1637639167,68,42.9873,-85.0711,29.39,5.75
São João da Barra,28,BR,1637639168,74,-21.6403,-41.0511,67.57,4.16
Aklavik,100,CA,1637639168,95,68.2191,-135.0107,-13.97,7.74
Sørland,100,NO,1637639168,71,67.667,12.6934,40.91,27.85
Hong Kong,99,HK,1637638902,74,22.2855,114.1577,63.25,1.01
Jalu,100,LY,1637639169,49,29.0331,21.5482,60.28,9.6
Gravdal,100,NO,1637639170,80,68.1214,13.5031,39.51,24.74
Zhigansk,100,RU,1637639170,95,66.7697,123.3711,-18.62,9.01
Buraidah,3,SA,1637639151,76,26.326,43.975,57.65,9.06
Provideniya,1,RU,1637639171,52,64.3833,-173.3,10.51,6.71
Matadi,100,CD,1637639171,96,-5.8167,13.45,74.71,1.77
Clyde River,100,CA,1637639172,86,70.4692,-68.5914,16.03,17.27
Kamenka,100,RU,1637639172,76,51.3223,42.7678,27.75,5.32
Hirtshals,6,DK,1637639173,70,57.5881,9.9592,37.22,7.96
Mazagão,34,BR,1637639173,97,-0.115,-51.2894,80.65,3.11
Marquette,32,US,1637639174,71,46.5333,-87.6335,20.68,6.2
Ano Mera,100,GR,1637639174,79,37.45,25.4,66.65,15.77
Vanimo,51,PG,1637639174,75,-2.6741,141.3028,84.29,4.76
Zlobin,20,HR,1637639175,65,45.2924,14.6541,40.37,14.97
San Juan,46,AR,1637639175,38,-31.5375,-68.5364,75.81,8.37
Bulgan,71,MN,1637639176,47,48.8125,103.5347,21.51,2.42
Pangnirtung,100,CA,1637638992,75,66.1451,-65.7125,22.68,15.5
Shingū,4,JP,1637639177,51,33.7333,135.9833,56.39,14.72
Okhotsk,38,RU,1637639177,87,59.3833,143.3,8.19,14.0
Bengkulu,90,ID,1637639177,65,-3.8004,102.2655,83.35,4.45
Anloga,78,GH,1637639178,76,5.7947,0.8973,80.82,6.53
Terney,99,RU,1637639178,68,45.0503,136.6092,23.02,16.75
Banepā,20,NP,1637639179,82,27.6298,85.5214,55.72,2.3
Turukhansk,100,RU,1637639073,90,65.8167,87.9833,15.24,20.58
Woodward,1,US,1637639109,39,36.4337,-99.3904,51.73,9.22
Hasaki,100,JP,1637639180,74,35.7333,140.8333,59.4,15.1
Hirara,75,JP,1637639180,73,24.8,125.2833,69.66,11.5
Mahébourg,40,MU,1637639180,88,-20.4081,57.7,78.26,6.91
Sinnamary,83,GF,1637639181,88,5.3833,-52.95,77.54,6.31
Kemijärvi,81,FI,1637639181,97,66.7131,27.4306,10.81,2.26
Mount Gambier,75,AU,1637639182,82,-37.8333,140.7667,64.31,17.27
Huayang,0,CN,1637639182,23,34.4155,109.9939,40.84,6.33
Chokurdakh,100,RU,1637639182,99,70.6333,147.9167,-12.5,5.48
Kota,0,IN,1637639183,32,25.1833,75.8333,74.21,2.24
Lagoa,37,PT,1637639183,86,39.05,-27.9833,64.83,18.68
Mikuni,100,JP,1637639184,66,36.2171,136.1519,44.51,24.36
Khasan,11,RU,1637639184,43,42.4308,130.6434,26.76,24.27
Tacoronte,75,ES,1637639185,88,28.4769,-16.4102,66.22,1.99
Haines Junction,100,CA,1637639185,66,60.7522,-137.5108,3.15,6.91
Butaritari,20,KI,1637639186,77,3.0707,172.7902,82.26,11.61
Port Hedland,64,AU,1637639186,46,-20.3167,118.5667,91.45,13.8
Rach Gia,84,VN,1637639186,76,10.0167,105.0833,85.95,11.18
Mersing,40,MY,1637639187,94,2.4312,103.8405,78.71,6.91
Honiara,48,SB,1637639187,68,-9.4333,159.95,86.11,9.28
North Bend,90,US,1637639013,94,43.4065,-124.2243,51.71,5.75
Klaksvík,100,FO,1637639188,79,62.2266,-6.589,47.32,31.07
Karratha,82,AU,1637639188,43,-20.7377,116.8463,90.59,10.74
Along,87,IN,1637639189,52,28.1667,94.7667,71.22,1.36
Miranda,100,CO,1637639189,96,3.2499,-76.2281,68.13,1.74
Springbok,45,ZA,1637639189,91,-29.6643,17.8865,52.56,2.04
Lerwick,100,GB,1637639190,81,60.1545,-1.1494,48.2,21.92
Tilichiki,100,RU,1637639190,87,60.4667,166.1,3.0,9.6
Cañon City,1,US,1637639127,25,38.441,-105.2424,54.45,1.99
Kaitangata,73,NZ,1637639191,60,-46.2817,169.8464,57.09,5.61
Ketchikan,90,US,1637639191,93,55.3422,-131.6461,39.18,3.44
San Vicente,100,AR,1637639192,65,-26.6167,-54.1333,66.49,0.96
Mareeba,16,AU,1637639192,56,-17.0,145.4333,94.32,9.71
Priyutnoye,36,RU,1637639192,73,46.1011,43.5072,46.17,8.48
Nova Prata,3,BR,1637639193,76,-28.7839,-51.61,63.68,3.15
Makakilo City,90,US,1637639193,70,21.3469,-158.0858,79.12,9.22
Santiago del Estero,92,AR,1637639194,89,-27.7951,-64.2615,73.08,13.76
Pāli,0,IN,1637639194,20,25.7667,73.3333,75.92,2.51
Yulara,40,AU,1637639195,57,-25.2406,130.9889,80.44,8.05
Botou,0,CN,1637639195,28,38.0667,116.5667,43.81,9.8
Gijón,100,ES,1637639195,83,43.5357,-5.6615,54.81,11.99
Bambous Virieux,40,MU,1637639196,88,-20.3428,57.7575,78.22,6.91
Ancud,34,CL,1637639196,92,-41.8697,-73.8203,49.53,4.72
Rundu,100,NA,1637639197,78,-17.9333,19.7667,65.73,4.94
Russell,1,US,1637639197,43,32.3502,-85.1999,48.11,11.5
Pangai,40,TO,1637639198,74,-19.8,-174.35,80.71,5.75
Nabire,62,ID,1637639198,63,-3.3667,135.4833,88.11,6.89
Najrān,20,SA,1637639199,31,17.4924,44.1277,56.05,0.94
Saint George,1,US,1637638862,36,37.1041,-113.5841,57.67,0.0
Anking,44,CN,1637639200,22,30.5092,117.0506,51.1,1.48
Kutum,3,SD,1637639200,40,14.2,24.6667,57.61,7.05
Monchegorsk,27,RU,1637639201,89,67.9397,32.8739,7.3,7.38
Ostrovnoy,46,RU,1637639201,93,68.0531,39.5131,20.55,7.58
Quatre Cocos,2,MU,1637639202,67,-20.2078,57.7625,78.1,8.84
Mēga,86,ET,1637639202,63,4.05,38.3,61.47,6.22
Kaura Namoda,55,NG,1637639202,24,12.5898,6.5779,75.4,8.55
Ürümqi,0,CN,1637639203,44,43.801,87.6005,34.75,15.66
Baykit,100,RU,1637639203,95,61.67,96.37,15.87,3.29
Kuytun,100,RU,1637639204,92,54.3419,101.5036,18.48,2.24
Husavik,20,IS,1637639204,82,66.0449,-17.3389,40.91,7.67
Deniliquin,100,AU,1637639205,46,-35.5333,144.9667,73.99,11.25
Crato,75,BR,1637639205,61,-7.2342,-39.4094,83.91,8.05
Ardeşen,5,TR,1637639205,52,41.1911,40.9875,49.96,5.55
Tiksi,51,RU,1637639206,97,71.6872,128.8694,-21.98,7.7
Kharp,100,RU,1637639206,88,66.8014,65.8081,7.34,9.01
Ifanadiana,57,MG,1637639207,70,-21.3,47.6333,74.91,1.83
Taltal,91,CL,1637639207,86,-25.4,-70.4833,58.93,0.96
Chenghai,90,CN,1637639207,59,23.4632,116.768,60.71,11.18
Muriti,77,TZ,1637639208,65,-1.9833,32.9167,74.23,5.48
Katsuura,87,JP,1637639209,74,35.1333,140.3,60.84,4.7
Saldanha,2,ZA,1637639209,81,-33.0117,17.9442,57.25,13.69
Skellefteå,41,SE,1637639210,93,64.7507,20.9528,19.76,5.75
Wanaka,39,NZ,1637639210,54,-44.7,169.15,65.05,4.36
Tamandaré,72,BR,1637639210,76,-8.7597,-35.1047,77.83,5.66
Anadyr,0,RU,1637639211,84,64.75,177.4833,-12.5,8.95
Port Blair,74,IN,1637639211,73,11.6667,92.75,84.58,10.8
Bereda,94,ES,1637639212,100,43.2686,-7.5406,49.41,10.45
Severo-Kuril'sk,96,RU,1637639212,85,50.6789,156.125,38.1,19.57
Arman',8,RU,1637639213,77,59.7,150.1667,10.02,11.5
Jiexiu,0,CN,1637639213,15,37.0244,111.9125,40.77,10.29
Jambi City,100,ID,1637639052,58,-1.6,103.6167,90.19,1.54
Aykhal,89,RU,1637639214,100,66.0,111.5,-25.62,7.4
Örnsköldsvik,68,SE,1637639214,92,63.2909,18.7153,16.75,8.05
Ormara,17,PK,1637639215,26,25.2088,64.6357,76.75,3.18
Khovd,75,MN,1637639215,26,48.0056,91.6419,29.07,5.32
San Patricio,100,US,1637639216,49,28.017,-97.5169,66.83,6.91
Necochea,1,AR,1637639216,65,-38.5473,-58.7368,52.03,14.29
Luancheng,0,CN,1637639217,18,37.8792,114.6517,42.96,3.83
Tabou,6,CI,1637639217,83,4.423,-7.3528,78.15,2.95
Los Zacatones,38,MX,1637639217,76,22.95,-102.05,59.65,15.46
Puerto Escondido,1,MX,1637639218,73,15.85,-97.0667,79.63,5.75
Marabba,23,SD,1637639218,24,12.35,32.1833,71.55,10.47
Tecate,90,MX,1637639219,25,32.5667,-116.6333,66.34,6.04
Lorengau,100,PG,1637639219,85,-2.0226,147.2712,79.66,8.97
Shimoda,1,JP,1637639220,58,34.6667,138.95,61.16,29.28
Narva-Jõesuu,100,EE,1637639220,84,59.4589,28.0408,32.13,11.18
Khao Yoi,100,TH,1637639220,85,13.2403,99.8243,83.98,7.27
Ilām,28,NP,1637639221,76,26.9167,87.9167,62.56,3.94
Cotuí,11,DO,1637639221,97,19.0527,-70.1494,76.71,2.62
Pevek,17,RU,1637639222,96,69.7008,170.3133,-18.42,1.99
Roald,75,NO,1637639222,93,62.5833,6.1333,43.16,19.57
Talcahuano,0,CL,1637639222,77,-36.7167,-73.1167,58.68,6.91
Balkanabat,0,TM,1637639223,53,39.5108,54.3671,51.6,2.01
East London,75,ZA,1637639223,94,-33.0153,27.9116,63.54,6.91
Souillac,40,MU,1637639224,88,-20.5167,57.5167,78.37,6.91
Marawi,100,PH,1637639224,65,7.9986,124.2928,76.64,4.05
Juegang,99,CN,1637639225,29,32.3174,121.1855,45.03,10.22
Samaná,21,DO,1637639225,89,19.2056,-69.3369,75.2,4.59
Santa Maria,0,BR,1637639020,73,-29.6842,-53.8069,74.5,2.3
Hokitika,74,NZ,1637639226,74,-42.7167,170.9667,60.39,8.86
Kumul,62,CN,1637639226,44,42.8,93.45,30.47,4.03
Alamogordo,1,US,1637639181,48,32.8995,-105.9603,51.66,4.61
Guiyang,75,CN,1637639227,66,26.5833,106.7167,46.89,6.71
Timmins,90,CA,1637639102,79,48.4669,-81.3331,17.42,11.5
Jining,0,CN,1637639227,29,35.405,116.5814,46.42,8.19
Dingle,67,PH,1637639228,72,10.9995,122.6711,85.82,13.2
Yokadouma,57,CM,1637639228,88,3.5167,15.05,68.95,1.81
Eyrarbakki,100,IS,1637639229,71,63.863,-21.1481,39.25,12.1
Todos Santos,50,MX,1637639229,78,23.45,-110.2167,74.01,2.91
Aracaju,40,BR,1637638963,78,-10.9111,-37.0717,80.55,11.5
Denizli Province,98,TR,1637639230,83,37.8402,29.0698,52.65,4.14
Ahipara,18,NZ,1637639230,66,-35.1667,173.1667,66.25,11.23
Qui Nhon,98,VN,1637639231,87,13.7667,109.2333,77.0,17.29
Makubetsu,40,JP,1637639231,60,45.3714,141.8211,35.31,26.46
Vila,94,PT,1637639232,83,42.0304,-8.1588,40.33,6.6
Amnat Charoen,36,TH,1637639232,61,15.9167,104.75,85.39,22.06
San Nicolas,20,PH,1637639233,70,18.1725,120.5953,85.91,12.66
Korem,49,ET,1637639233,86,12.5058,39.5228,49.01,1.5
Kiryat Gat,0,IL,1637639233,63,31.61,34.7642,57.4,2.51
Coquimbo,90,CL,1637639234,82,-29.9533,-71.3436,58.73,3.44
Port Hardy,90,CA,1637639198,100,50.6996,-127.4199,42.98,4.61
College,90,US,1637639235,63,64.8569,-147.8028,1.58,9.22
Muzaffarnagar,0,IN,1637639235,27,29.4667,77.6833,66.67,4.94
Mkushi,67,ZM,1637639235,91,-13.6202,29.3939,65.7,1.52
Osa,100,RU,1637639236,92,57.2829,55.4567,21.67,12.39
Rājāpur,0,IN,1637639236,24,25.3833,81.15,73.08,5.12
Tessaoua,0,NE,1637639237,22,13.7574,7.9874,74.93,8.14
Belmonte,100,BR,1637639237,89,-15.8631,-38.8828,70.3,10.27
Hamilton,1,US,1637639238,74,39.1834,-84.5333,30.83,1.01
Worland,1,US,1637639238,64,44.0169,-107.9554,46.54,9.22
Novovasylivka,100,UA,1637639238,89,46.8315,35.7536,47.43,6.71
Ndioum,100,SN,1637639239,21,16.5129,-14.6471,80.49,9.1
Bilma,0,NE,1637639239,24,18.6853,12.9164,71.15,8.9
Fort Saint James,1,CA,1637639240,70,54.4333,-124.25,30.18,5.7
Aksay,100,RU,1637639054,72,47.26,39.87,50.25,15.99
Krasnosel'kup,98,RU,1637639240,95,65.7,82.4667,20.5,14.92
Havelock,76,US,1637639241,91,34.8791,-76.9013,50.94,1.99
Paita,46,PE,1637639241,81,-5.0892,-81.1144,65.59,5.59
Guane,23,CU,1637639242,76,22.2025,-84.0875,75.09,8.86
Sakaraha,46,MG,1637639242,59,-22.9,44.5333,79.21,11.83
Severodvinsk,90,RU,1637639092,85,64.5635,39.8302,23.11,12.91
Vangaindrano,41,MG,1637639243,83,-23.35,47.6,75.33,8.25
Ayagoz,100,KZ,1637639243,88,47.9714,80.4392,31.17,19.53
Losinyy,98,RU,1637639244,82,57.1386,61.0666,24.55,13.58
Moro,0,PK,1637639244,13,26.6646,68.0016,55.26,2.77
Green River,0,US,1637639245,30,41.5286,-109.4662,41.4,4.5
Dali,38,CN,1637639245,56,25.7,100.1833,59.68,0.54
Quelimane,92,MZ,1637639246,79,-17.8786,36.8883,77.94,3.49
Constitución,0,CL,1637639246,57,-35.3333,-72.4167,60.71,8.19
Agadez,0,NE,1637639246,23,19.75,10.25,70.45,9.82
Lichuan,93,CN,1637639247,59,30.3,108.85,46.83,3.91
Balabac,79,PH,1637639247,75,7.9868,117.0645,84.45,11.1
Codrington,100,AU,1637639227,66,-38.2667,141.9667,72.23,18.72
Medina del Campo,100,ES,1637639248,93,41.3124,-4.9141,41.76,13.27
Zonguldak,53,TR,1637639248,66,41.25,31.8333,43.79,5.48
Antsohihy,17,MG,1637639249,70,-14.8796,47.9875,80.37,1.5
Ulaangom,75,MN,1637639249,83,49.9811,92.0667,11.79,2.48
Jasper,1,US,1637639198,56,37.2001,-94.3502,42.24,0.0
Sioux Lookout,40,CA,1637639250,85,50.1001,-91.917,14.07,3.44
Akdepe,44,TM,1637639074,58,42.0551,59.3788,39.29,5.55
Mandalgovi,27,MN,1637639251,26,45.7625,106.2708,25.88,11.48
Dalianwan,0,CN,1637639251,38,39.0286,121.695,41.04,15.66
Vila Velha,75,BR,1637639160,89,-20.3297,-40.2925,69.75,3.44
Nguruka,93,TZ,1637639252,90,-5.1092,31.0419,67.1,3.85
Manga,0,BF,1637639252,23,11.6636,-1.0731,74.03,6.31
Buchmany,51,UA,1637639253,91,51.0689,28.0421,27.79,4.97
Itarema,94,BR,1637639253,80,-2.9248,-39.9167,80.08,13.91
